ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
90748,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90749,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90755,"$1,840 ","$2,060 ","$2,600 ","$3,300 ","$3,660 "
90801,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90802,"$1,890 ","$2,120 ","$2,680 ","$3,410 ","$3,780 "
90803,"$2,360 ","$2,650 ","$3,340 ","$4,240 ","$4,710 "
90804,"$1,700 ","$1,900 ","$2,400 ","$3,050 ","$3,380 "
90805,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90806,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90807,"$1,880 ","$2,110 ","$2,660 ","$3,380 ","$3,750 "
90808,"$2,230 ","$2,500 ","$3,150 ","$4,000 ","$4,440 "
90809,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90810,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90813,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90814,"$1,940 ","$2,170 ","$2,740 ","$3,480 ","$3,860 "
90815,"$2,100 ","$2,350 ","$2,970 ","$3,770 ","$4,180 "
90822,"$2,090 ","$2,340 ","$2,950 ","$3,750 ","$4,160 "
90831,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90832,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90833,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90840,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90853,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91001,"$2,110 ","$2,360 ","$2,980 ","$3,790 ","$4,200 "
91003,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91006,"$1,990 ","$2,240 ","$2,820 ","$3,580 ","$3,970 "
91007,"$1,940 ","$2,180 ","$2,750 ","$3,490 ","$3,870 "
91008,"$1,980 ","$2,220 ","$2,800 ","$3,560 ","$3,940 "
91009,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91010,"$2,030 ","$2,280 ","$2,870 ","$3,650 ","$4,040 "
91011,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
91012,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91016,"$1,870 ","$2,090 ","$2,640 ","$3,350 ","$3,720 "
91017,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91020,"$2,030 ","$2,280 ","$2,870 ","$3,650 ","$4,040 "
91021,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91023,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91024,"$2,010 ","$2,260 ","$2,850 ","$3,620 ","$4,010 "
91025,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91030,"$2,130 ","$2,390 ","$3,020 ","$3,840 ","$4,250 "
91031,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91040,"$1,770 ","$1,990 ","$2,510 ","$3,190 ","$3,540 "
91041,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91042,"$1,720 ","$1,930 ","$2,440 ","$3,100 ","$3,440 "
91043,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91046,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
91066,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91077,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91101,"$2,410 ","$2,700 ","$3,410 ","$4,330 ","$4,800 "
91102,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91103,"$1,780 ","$2,000 ","$2,520 ","$3,200 ","$3,550 "
91104,"$1,890 ","$2,120 ","$2,670 ","$3,390 ","$3,760 "
91105,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
91106,"$2,120 ","$2,380 ","$3,000 ","$3,810 ","$4,230 "
91107,"$2,110 ","$2,360 ","$2,980 ","$3,790 ","$4,200 "
